iter,applicant_id,program_id,quota_id,ranking,score
1,27427675,1001,1,1,26018.17433
1,27427762,4871,1,1,26043.52782
1,27428434,3665,1,1,26027.63107
1,27428527,3573,1,1,26036.30131
1,27428636,3807,1,1,26045.1574
1,27429120,7116,1,1,26045.65921
1,27429975,1097,1,1,26027.37356
1,27429981,1299,1,1,26027.53298
1,27430342,5237,1,1,26018.40323
1,27431431,4359,1,1,26036.33354
1,27434570,7727,1,1,26027.08645
1,27434941,5939,1,1,26035.47399
1,27436618,6981,1,1,26045.44443
1,27436901,7490,1,1,19475.52826
1,27437111,827,1,1,26027.63909
1,27437720,6479,1,1,26018.11833
1,27438328,618,1,1,26016.31622
1,27438870,1309,1,1,10.54719
1,27438970,7306,1,1,26036.43834
1,27440052,4772,1,1,26016.44119
1,27441250,7148,1,1,26036.48315
1,27441577,2003,1,1,26036.30044
1,27442176,4097,1,1,26027.3391
1,27442325,6500,1,1,26045.40113
1,27442939,5274,1,1,26036.14762
1,27443041,6507,1,1,26036.65556
1,27443173,4566,1,1,26036.63304
1,27443255,1332,1,1,19475.03102
1,27443407,322,1,1,26036.24819
1,27443916,36,1,1,26054.13764
1,27444196,3566,1,1,26027.55931
1,27444829,4372,1,1,26027.39929
1,27445811,1001,1,1,26018.13222
1,27446022,7669,1,1,4.55924
1,27446296,1468,1,1,26117.5201
1,27446530,5926,1,1,29357.31259
1,27447125,6787,1,1,29564.08403
1,27449349,2007,1,1,26027.60287
1,27449401,4772,1,1,26036.32345
1,27450428,6337,1,1,23.29796
1,27450897,2013,1,1,26036.18808
1,27452723,7669,1,1,4.40876
1,27453492,2012,1,1,26036.08918
1,27454859,4649,1,1,26027.1562
1,27455259,5673,1,1,29456.01012
1,27455920,3507,1,1,22.22636
1,27456272,1468,1,1,26027.23642
1,27458004,7235,1,1,26027.15307
1,27458864,322,1,1,26036.59082
1,27461362,5019,1,1,26032.05588
1,27462259,6189,1,1,26036.66212
1,27464613,6981,1,1,26045.61368
1,27465597,3897,1,1,26117.60944
1,27466753,2934,1,1,26018.09798
1,27467131,63,1,1,29447.38947
1,27467623,5271,1,1,26036.25553
1,27468183,5607,1,1,26034.54671
1,27468200,671,1,1,26036.23589
1,27468204,4349,1,1,26027.09356
1,27469789,2316,1,1,31.5935
1,27470212,5207,1,1,26044.16046
1,27470396,6465,1,1,26027.62863
1,27470494,805,1,1,26018.44422
1,27471644,1245,1,1,10.00745
1,27471768,1297,1,1,26027.41677
1,27472923,1905,1,1,26027.61579
1,27474172,1762,1,1,22.20058
1,27474349,3771,1,1,26036.57421
1,27474720,1072,1,1,12977.44223
1,27474738,1294,1,1,26027.3123
1,27475367,4871,1,1,26045.58736
1,27475690,967,1,1,26014.35061
